2025-06-27  11:35:27.731 | info | 8g76ofgv6e8goj | --- Starting Serverless Worker |  Version 1.7.12 ---\n
2025-06-27  11:35:27.731 | info | 8g76ofgv6e8goj | Handler imported successfully\n
2025-06-27  11:35:27.731 | info | 8g76ofgv6e8goj | Could not find the extra_model_paths config file.\n
2025-06-27  11:35:26.521 | info | 8g76ofgv6e8goj | Could not import load_extra_path_config from main.py. Looking in utils.extra_config instead.\n
2025-06-27  11:35:26.521 | info | 8g76ofgv6e8goj | Using pytorch attention\n
2025-06-27  11:35:19.908 | info | 8g76ofgv6e8goj | attention.py        :588  2025-06-27 06:05:19,907 Using pytorch attention\n
2025-06-27  11:35:19.908 | info | 8g76ofgv6e8goj | Device: cuda:0 NVIDIA GeForce RTX 4090 : native\n
2025-06-27  11:35:19.908 | info | 8g76ofgv6e8goj | model_management.py :392  2025-06-27 06:05:12,833 Device: cuda:0 NVIDIA GeForce RTX 4090 : native\n
2025-06-27  11:35:19.908 | info | 8g76ofgv6e8goj | Set vram state to: NORMAL_VRAM\n
2025-06-27  11:35:19.908 | info | 8g76ofgv6e8goj | model_management.py :365  2025-06-27 06:05:12,833 Set vram state to: NORMAL_VRAM\n
2025-06-27  11:35:19.908 | info | 8g76ofgv6e8goj | pytorch version: 2.5.1+cu121\n
2025-06-27  11:35:19.908 | info | 8g76ofgv6e8goj | model_management.py :226  2025-06-27 06:05:12,831 pytorch version: 2.5.1+cu121\n
2025-06-27  11:35:19.908 | info | 8g76ofgv6e8goj | Total VRAM 24210 MB, total RAM 257554 MB\n
2025-06-27  11:35:12.831 | info | 8g76ofgv6e8goj | model_management.py :223  2025-06-27 06:05:12,831 Total VRAM 24210 MB, total RAM 257554 MB\n
2025-06-27  11:35:12.831 | info | 8g76ofgv6e8goj | Checkpoint files will always be loaded safely.\n
2025-06-27  11:35:12.583 | info | 8g76ofgv6e8goj | utils.py            :48   2025-06-27 06:05:12,582 Checkpoint files will always be loaded safely.\n
2025-06-27  11:35:12.583 | info | 8g76ofgv6e8goj | \n
2025-06-27  11:35:12.583 | info | 8g76ofgv6e8goj | main.py             :95   2025-06-27 06:05:12,478 \n
2025-06-27  11:35:12.583 | info | 8g76ofgv6e8goj |   12.6 seconds: /runpod-volume/ComfyUI/custom_nodes/ComfyUI-Manager\n
2025-06-27  11:35:12.583 | info | 8g76ofgv6e8goj | main.py             :94   2025-06-27 06:05:12,477   12.6 seconds: /runpod-volume/ComfyUI/custom_nodes/ComfyUI-Manager\n
2025-06-27  11:35:12.583 | info | 8g76ofgv6e8goj |    0.0 seconds: /runpod-volume/ComfyUI/custom_nodes/rgthree-comfy\n
2025-06-27  11:35:12.582 | info | 8g76ofgv6e8goj | main.py             :94   2025-06-27 06:05:12,477    0.0 seconds: /runpod-volume/ComfyUI/custom_nodes/rgthree-comfy\n
2025-06-27  11:35:12.582 | info | 8g76ofgv6e8goj | Prestartup times for custom nodes:\n
2025-06-27  11:35:12.582 | info | 8g76ofgv6e8goj | \n
2025-06-27  11:35:12.582 | info | 8g76ofgv6e8goj | Prestartup times for custom nodes:\n
2025-06-27  11:35:12.478 | info | 8g76ofgv6e8goj | main.py             :88   2025-06-27 06:05:12,477 \n
2025-06-27  11:35:12.478 | info | 8g76ofgv6e8goj | ** Log path: /runpod-volume/ComfyUI/user/comfyui.log\n
2025-06-27  11:35:12.478 | info | 8g76ofgv6e8goj | ** ComfyUI-Manager config path: /runpod-volume/ComfyUI/user/default/ComfyUI-Manager/config.ini\n
2025-06-27  11:35:12.478 | info | 8g76ofgv6e8goj | ** User directory: /runpod-volume/ComfyUI/user\n
2025-06-27  11:35:12.478 | info | 8g76ofgv6e8goj | ** ComfyUI Base Folder Path: /runpod-volume/ComfyUI\n
2025-06-27  11:35:12.478 | info | 8g76ofgv6e8goj | ** ComfyUI Path: /runpod-volume/ComfyUI\n
2025-06-27  11:35:12.478 | info | 8g76ofgv6e8goj | ** Python executable: /runpod-volume/ComfyUI/venv/bin/python\n
2025-06-27  11:35:12.478 | info | 8g76ofgv6e8goj | ** Python version: 3.10.12 (main, Jun 11 2023, 05:26:28) [GCC 11.4.0]\n
2025-06-27  11:35:12.478 | info | 8g76ofgv6e8goj | ** Platform: Linux\n
2025-06-27  11:35:12.478 | info | 8g76ofgv6e8goj | ** ComfyUI startup time: 2025-06-27 06:05:06.161\n
